Match_id,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,BattingTeam_1
335346,Tamim Iqbal,Nazimuddin,Mohammad Ashraful,Raqibul Hasan,Alok Kapali,Mashrafe Mortaza,Mahmudullah,Mushfiqur Rahim,Dolar Mahmud,Shahadat Hossain,Abdur Razzak,Bangladesh
335347,Salman Butt,Younis Khan,Shoaib Malik,Mohammad Yousuf,MisbahNaNulNaNHaq,Fawad Alam,Shahid Afridi,Sarfraz Ahmed,Sohail Tanvir,Umar Gul,Iftikhar Anjum,Pakistan
335348,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,LPC Silva,TM Dilshan,WPUJC Vaas,KMDN Kulasekara,BAW Mendis,M Muralitharan,CRD Fernando,Sri Lanka
335349,G Gambhir,V Sehwag,RG Sharma,MS Dhoni,SK Raina,RV Uthappa,P Kumar,RP Singh,MS Gony,PP Chawla,YK Pathan,India
335350,KC Sangakkara,ML Udawatte,DPMD Jayawardene,CK Kapugedera,LPC Silva,TM Dilshan,K Weeraratne,T Thushara,KMDN Kulasekara,BAW Mendis,CRD Fernando,Sri Lanka
335351,Salman Butt,Shoaib Malik,Younis Khan,Mohammad Yousuf,MisbahNaNulNaNHaq,Shahid Afridi,Sohail Tanvir,Umar Gul,Iftikhar Anjum,Fawad Alam,NaN,Pakistan
335354,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,LPC Silva,TM Dilshan,WPUJC Vaas,T Thushara,KMDN Kulasekara,BAW Mendis,M Muralitharan,Sri Lanka
335355,G Gambhir,V Sehwag,SK Raina,Yuvraj Singh,MS Dhoni,RG Sharma,YK Pathan,IK Pathan,P Kumar,I Sharma,PP Chawla,India
335356,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,LPC Silva,TM Dilshan,K Weeraratne,T Thushara,KMDN Kulasekara,M Muralitharan,CRD Fernando,Sri Lanka
335357,Tamim Iqbal,Nazimuddin,Mohammad Ashraful,Raqibul Hasan,Mushfiqur Rahim,Alok Kapali,Mahmudullah,Farhad Reza,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,Bangladesh
335358,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,CK Kapugedera,LPC Silva,TM Dilshan,WPUJC Vaas,KMDN Kulasekara,T Thushara,BAW Mendis,M Muralitharan,Sri Lanka
335987,K Goel,JR Hopes,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,IK Pathan,S Sohal,B Lee,PP Chawla,WA Mota,S Sreesanth,Kings XI Punjab
